transaction_id,order_date,customer_id,product_id,product_category,quantity,unit_price,discount,revenue,region,sales_channel,customer_type
106173,2023-01-01,9243,5417,Health & Wellness,2,266.26,0.1,479.27,Central,Online,Returning
128560,2023-01-03,10369,5388,Sports & Outdoors,2,559.82,0.0,1119.64,Central,Online,Returning
147363,2023-01-03,1059,5499,Books,1,52.48,0.2,41.98,South,Online,New
137886,2023-01-03,5532,5146,Clothing,1,182.1,0.0,182.1,North,Offline,Returning
118475,2023-01-04,6144,5368,Beauty & Personal Care,5,121.21,0.15,515.14,West,Online,Returning
133074,2023-01-04,8784,5355,Books,6,9.79,0.0,58.74,East,Online,Returning
138465,2023-01-04,7989,5427,Electronics,4,923.06,0.05,3507.63,North,Online,New
115657,2023-01-04,8979,5323,Beauty & Personal Care,1,123.96,0.05,117.76,Central,Offline,Returning
130152,2023-01-04,10108,5437,Health & Wellness,4,64.86,0.05,246.47,North,Online,Returning
107128,2023-01-04,4470,5043,Books,2,45.7,0.1,82.26,Central,Online,Returning
136803,2023-01-04,8488,5084,Automotive,3,351.03,0.0,1053.09,North,Online,Returning
143717,2023-01-04,3654,5053,Home & Kitchen,1,472.37,0.15,401.51,West,Online,Returning
122387,2023-01-04,7542,5410,Sports & Outdoors,2,588.81,0.05,1118.74,West,Online,Returning
104220,2023-01-04,10207,5355,Electronics,3,125.08,0.05,356.48,Central,Offline,Returning
131220,2023-01-04,10843,5076,Electronics,2,250.08,0.05,475.15,South,Offline,Returning
138169,2023-01-05,10991,5167,Toys & Games,2,73.06,0.25,109.59,Central,Offline,Returning
115179,2023-01-05,3954,5319,Clothing,1,107.71,0.05,102.32,South,Online,New
129185,2023-01-05,8045,5285,Electronics,4,872.22,0.1,3139.99,West,Online,New
142973,2023-01-05,8234,5047,Office Supplies,3,139.64,0.1,377.03,South,Online,Returning
112264,2023-01-06,6537,5277,Clothing,5,151.34,0.2,605.36,South,Offline,Returning
129871,2023-01-06,10215,5460,Clothing,2,59.29,0.15,100.79,North,Online,Returning
145402,2023-01-06,5077,5221,Sports & Outdoors,6,675.34,0.1,3646.84,North,Offline,Returning
114823,2023-01-06,5080,5252,Clothing,3,182.57,0.0,547.71,East,Online,Returning
147141,2023-01-06,8603,5049,Beauty & Personal Care,4,92.2,0.0,368.8,Central,Online,New
115038,2023-01-06,5305,5299,Pet Supplies,4,142.15,0.0,568.6,North,Online,Returning
117717,2023-01-06,6010,5309,Clothing,3,97.45,0.05,277.73,North,Online,Returning
137059,2023-01-06,10302,5221,Beauty & Personal Care,5,71.39,0.05,339.1,East,Online,Returning
126709,2023-01-06,5873,5463,Electronics,8,605.81,0.0,4846.48,Central,Online,Returning
101120,2023-01-06,10095,5185,Sports & Outdoors,1,383.41,0.1,345.07,West,Online,Returning
134120,2023-01-06,10050,5207,Electronics,2,1868.56,0.0,3737.12,West,Offline,Returning
137283,2023-01-06,7952,5081,Pet Supplies,2,115.02,0.1,207.04,West,Online,Returning
116064,2023-01-07,9523,5448,Health & Wellness,1,56.45,0.05,53.63,Central,Online,Returning
